Code,Name,Close,Daily_Chg%,Daily_Amount_B,Volume,Sector,Industry,Vol_Increase,RVOL,Weekly_Chg%,Monthly_Chg%
6423.TW,億而得-創,84.1,-2.2093023255813953,0.07475396699999999,88887.0,一般,一般,False,0,0,0
6426.TW,統新,90.0,-3.9487726787620065,1.3482657,1498073.0,一般,一般,False,0,0,0
6431.TW,光麗-KY,27.05,-1.4571948998178508,0.09265193050000001,342521.0,一般,一般,False,0,0,0
6438.TW,迅得,138.5,-1.4234875444839856,0.85519595,617470.0,一般,一般,False,0,0,0
6442.TW,光聖,1295.0,-0.38461538461538464,33.03077505,2550639.0,光通訊,光通訊,False,0,0,0
6443.TW,元晶,28.4,9.864603481624759,22.905888507999997,80654537.0,一般,一般,False,0,0,0
6446.TW,藥華藥,507.0,1.4000000000000001,15.48638091,3054513.0,一般,一般,False,0,0,0
6449.TW,鈺邦,170.5,-2.849002849002849,1.701376875,997875.0,一般,一般,False,0,0,0
6451.TW,訊芯-KY,155.0,-0.9584664536741214,1.40825715,908553.0,一般,一般,False,0,0,0
6456.TW,GIS-KY,43.0,1.2956419316843346,0.45904005,1067535.0,一般,一般,False,0,0,0
6464.TW,台數科,76.7,0.13054830287206268,0.010762544,14032.0,一般,一般,False,0,0,0
6472.TW,保瑞,495.0,3.556485355648536,4.606074,930520.0,一般,一般,False,0,0,0
6477.TW,安集,35.2,2.4745269286754,0.5182270720000001,1472236.0,一般,一般,False,0,0,0
6491.TW,晶碩,283.0,1.0714285714285714,0.66503302,234994.0,一般,一般,False,0,0,0
6504.TW,南六,41.85,-0.23837902264600713,0.0289279755,69123.0,一般,一般,False,0,0,0
6505.TW,台塑化,47.7,1.7057569296375266,4.054701771,8500423.0,一般,一般,False,0,0,0
6515.TW,穎崴,3305.0,5.5910543130990416,42.7951891,1294862.0,高價股,高價股,False,0,0,0
6525.TW,捷敏-KY,76.0,1.1984021304926766,0.1528626,201135.0,一般,一般,False,0,0,0
6526.TW,達發,448.0,-0.22271714922048996,1.39478976,311337.0,一般,一般,False,0,0,0
6531.TW,愛普*,455.5,-4.607329842931937,35.909365275,7883505.0,一般,一般,False,0,0,0
6533.TW,晶心科,247.0,0.8163265306122449,1.33073226,538758.0,一般,一般,False,0,0,0
6534.TW,正瀚-創,91.4,-0.9750812567713976,0.09474249800000001,103657.0,一般,一般,False,0,0,0
6541.TW,泰福-KY,52.5,0.5747126436781608,0.213481275,406631.0,一般,一般,False,0,0,0
6550.TW,北極星藥業-KY,30.2,-0.33003300330033003,0.23425717199999999,775686.0,一般,一般,False,0,0,0
6552.TW,易華電,26.4,2.9239766081871346,0.104790576,396934.0,一般,一般,False,0,0,0
6558.TW,興能高,37.25,-0.9308510638297872,0.22612091,607036.0,一般,一般,False,0,0,0
6573.TW,虹揚-KY,15.9,3.5830618892508146,0.09307955400000001,585406.0,一般,一般,False,0,0,0
6579.TW,研揚,113.0,3.1963470319634704,0.31169694,275838.0,一般,一般,False,0,0,0
6581.TW,鋼聯,104.0,0.9708737864077669,0.0109824,10560.0,一般,一般,False,0,0,0
6582.TW,申豐,31.8,1.5974440894568689,0.010010004,31478.0,一般,一般,False,0,0,0
6585.TW,鼎基,84.2,0.8383233532934131,0.043174392,51276.0,一般,一般,False,0,0,0
6589.TW,台康生技,62.4,0.9708737864077671,0.45903374399999997,735631.0,一般,一般,False,0,0,0
6591.TW,動力-KY,73.5,-0.271370420624152,0.2854887,388420.0,一般,一般,False,0,0,0
6592.TW,和潤企業,60.1,1.1784511784511784,0.787204224,1309824.0,一般,一般,False,0,0,0
6592A.TW,和潤企業甲特,97.0,0.0,0.00221645,2285.0,一般,一般,False,0,0,0
6592B.TW,和潤企業乙特,98.2,0.20408163265306123,0.005125058,5219.0,一般,一般,False,0,0,0
6598.TW,ABC-KY,22.3,-0.4464285714285714,0.018689184,83808.0,一般,一般,False,0,0,0
6605.TW,帝寶,137.0,1.4814814814814816,0.43525996,317708.0,一般,一般,False,0,0,0
6606.TW,建德工業,25.45,0.592885375494071,0.010000832,39296.0,一般,一般,False,0,0,0
6614.TW,資拓宏宇,49.25,0.0,0.0618092425,125501.0,一般,一般,False,0,0,0
6625.TW,必應,81.5,0.3694581280788177,0.096245795,118093.0,一般,一般,False,0,0,0
6641.TW,基士德-KY,19.15,-0.7772020725388602,0.0047915215,25021.0,一般,一般,False,0,0,0
6645.TW,金萬林-創,17.75,-0.8379888268156425,0.0154164075,86853.0,一般,一般,False,0,0,0
6655.TW,科定,120.0,0.41841004184100417,0.030012,25010.0,一般,一般,False,0,0,0
6657.TW,華安,41.2,0.6105006105006106,0.036564176000000004,88748.0,一般,一般,False,0,0,0
6658.TW,聯策,57.5,0.3490401396160559,0.194350575,338001.0,一般,一般,False,0,0,0
6666.TW,羅麗芬-KY,45.55,1.447661469933185,0.009944931499999999,21833.0,一般,一般,False,0,0,0
6668.TW,中揚光,36.15,-0.4132231404958678,0.1264725825,349855.0,一般,一般,False,0,0,0
6669.TW,緯穎,4670.0,1.191765980498375,100.3786612,2149436.0,AI伺服器,AI伺服器,False,0,0,0
6670.TW,復盛應用,259.0,1.171875,0.83660626,323014.0,一般,一般,False,0,0,0
6671.TW,三能-KY,36.1,1.6901408450704223,0.01306459,36190.0,一般,一般,False,0,0,0
6672.TW,騰輝電子-KY,90.6,0.8908685968819601,0.740018988,816798.0,一般,一般,False,0,0,0
6674.TW,鋐寶科技,19.6,-2.0,0.01274392,65020.0,一般,一般,False,0,0,0
6689.TW,伊雲谷,60.0,0.0,0.1198926,199821.0,一般,一般,False,0,0,0
6691.TW,洋基工程,567.0,-1.5625,6.12567522,1080366.0,一般,一般,False,0,0,0
6695.TW,芯鼎,44.5,0.6787330316742081,0.213690335,480203.0,一般,一般,False,0,0,0
6698.TW,旭暉應材,33.7,-2.318840579710145,0.22045630100000002,654173.0,一般,一般,False,0,0,0
6706.TW,惠特,128.0,-2.6615969581749046,8.26729856,6458827.0,一般,一般,False,0,0,0
6715.TW,嘉基,100.5,0.6006006006006005,0.05173137,51474.0,一般,一般,False,0,0,0
6719.TW,力智,186.5,0.0,1.093954915,586571.0,一般,一般,False,0,0,0
6742.TW,澤米,45.1,-3.1149301825993554,0.143226325,317575.0,一般,一般,False,0,0,0
6743.TW,安普新,27.05,-0.5514705882352942,0.0418606865,154753.0,一般,一般,False,0,0,0
6753.TW,龍德造船,129.5,-1.520912547528517,1.37838505,1064390.0,一般,一般,False,0,0,0
6754.TW,匯僑設計,47.55,-0.1050420168067227,0.0030232289999999997,6358.0,一般,一般,False,0,0,0
6756.TW,威鋒電子,83.5,3.0864197530864197,0.20588595,246570.0,一般,一般,False,0,0,0
6757.TW,台灣虎航,66.0,2.484472049689441,0.99444114,1506729.0,一般,一般,False,0,0,0
6768.TW,志強-KY,103.0,0.4878048780487805,1.42773347,1386149.0,一般,一般,False,0,0,0
6770.TW,力積電,49.2,3.0366492146596857,263.380190772,535325591.0,一般,一般,False,0,0,0
6771.TW,平和環保-創,44.0,-1.785714285714286,0.10475432,238078.0,一般,一般,False,0,0,0
6776.TW,展碁國際,56.6,1.7985611510791366,2.1935375280000002,3875508.0,一般,一般,False,0,0,0
6781.TW,AES-KY,1270.0,-3.787878787878788,19.9497569,1570847.0,電池模組,電池模組,False,0,0,0
6782.TW,視陽,177.5,1.1396011396011396,0.25451725,143390.0,一般,一般,False,0,0,0
6789.TW,采鈺,280.5,-1.5789473684210527,5.043224505,1797941.0,一般,一般,False,0,0,0
6790.TW,永豐實,37.85,0.0,0.0259404975,68535.0,一般,一般,False,0,0,0
6792.TW,詠業,51.2,0.39215686274509803,0.021225984,41457.0,一般,一般,False,0,0,0
6794.TW,向榮生技,84.6,-3.754266211604096,0.08248415399999999,97499.0,一般,一般,False,0,0,0
6796.TW,晉弘,92.8,-0.10764262648008613,0.05101494399999999,54973.0,一般,一般,False,0,0,0
6799.TW,來頡,85.0,4.422604422604422,0.4369221,514026.0,一般,一般,False,0,0,0
6805.TW,富世達,1405.0,-4.421768707482993,30.80064885,2192217.0,軸承,軸承,False,0,0,0
6806.TW,森崴能源,37.9,0.13210039630118892,0.407835836,1076084.0,一般,一般,False,0,0,0
6807.TW,峰源-KY,45.3,0.443458980044346,0.011825111999999999,26104.0,一般,一般,False,0,0,0
6830.TW,汎銓,181.5,0.8333333333333334,1.620923865,893071.0,一般,一般,False,0,0,0
6831.TW,邁科,276.5,-6.271186440677965,5.728402575,2071755.0,一般,一般,False,0,0,0
6834.TW,天二科技,28.65,-3.209459459459459,0.10597835549999998,369907.0,一般,一般,False,0,0,0
6835.TW,圓裕,38.8,0.7792207792207793,0.016387567999999998,42236.0,一般,一般,False,0,0,0
6838.TW,台新藥,27.0,0.1855287569573284,0.060102,222600.0,一般,一般,False,0,0,0
6854.TW,錼創科技-KY創,137.5,6.5891472868217065,1.07429575,781306.0,一般,一般,False,0,0,0
6861.TW,睿生光電,66.3,-3.3527696793002915,0.273179868,412036.0,一般,一般,False,0,0,0
6862.TW,三集瑞-KY,179.5,-2.17983651226158,1.13949472,634816.0,一般,一般,False,0,0,0
6863.TW,永道-KY,118.0,1.7241379310344827,0.16621362,140859.0,一般,一般,False,0,0,0
6869.TW,雲豹能源,91.4,-1.0822510822510822,0.4676078840000001,511606.0,一般,一般,False,0,0,0
6873.TW,泓德能源,95.8,-2.344546381243629,0.542608326,566397.0,一般,一般,False,0,0,0
6885.TW,全福生技,28.35,-0.7005253940455342,0.071876889,253534.0,一般,一般,False,0,0,0
6887.TW,寶綠特-KY,59.3,-1.001669449081803,0.00541409,9130.0,一般,一般,False,0,0,0
6890.TW,來億-KY,239.0,1.702127659574468,1.14184401,477759.0,一般,一般,False,0,0,0
6901.TW,鑽石投資,16.45,2.173913043478261,0.1078901215,655867.0,一般,一般,False,0,0,0
6902.TW,GOGOLOOK,75.5,-0.6578947368421052,0.01208151,16002.0,一般,一般,False,0,0,0
6906.TW,現觀科,75.1,-7.28395061728395,0.27132353299999995,361283.0,一般,一般,False,0,0,0
