Code,Name,Close,Volume,Daily_Amount_B,Daily_Chg%,Vol_Increase,Sector,Industry,RVOL,Weekly_Chg%,Monthly_Chg%
2481.TW,強茂,80.9,9261611.0,7.4658455,2.146464646464646,True,一般,一般,0,0,0
2482.TW,連宇,17.1,163698.0,0.02794297,2.08955223880597,False,一般,一般,0,0,0
2483.TW,百容,18.85,115269.0,0.02159653,1.6172506738544472,True,一般,一般,0,0,0
2484.TW,希華,20.85,680144.0,0.14017144,2.962962962962963,True,一般,一般,0,0,0
2485.TW,兆赫,26.8,28575739.0,7.47209784,5.719921104536488,True,一般,一般,0,0,0
2486.TW,一詮,93.3,9118353.0,8.60833173,-2.91363163371488,False,一般,一般,0,0,0
2488.TW,漢平,46.5,255094.0,0.11727509,2.0856201975850714,True,一般,一般,0,0,0
2489.TW,瑞軒,16.75,35699266.0,6.17254185,-3.1791907514450863,True,一般,一般,0,0,0
2491.TW,吉祥全,18.35,626177.0,0.11607372,-1.8716577540106947,False,一般,一般,0,0,0
2492.TW,華新科,132.0,21729525.0,28.52121393,1.9305019305019304,True,一般,一般,0,0,0
2493.TW,揚博,120.5,1541213.0,1.84962234,1.2605042016806722,True,一般,一般,0,0,0
2495.TW,普安,33.3,24501039.0,8.04067689,9.900990099009901,True,一般,一般,0,0,0
2496.TW,卓越,67.9,17384.0,0.01182512,-0.14705882352941177,False,一般,一般,0,0,0
2497.TW,怡利電,54.1,784696.0,0.42524971,-1.2773722627737225,False,一般,一般,0,0,0
2498.TW,宏達電,47.8,11116727.0,5.32939072,-1.8480492813141687,True,一般,一般,0,0,0
2501.TW,國建,24.0,2802577.0,0.66614568,3.225806451612903,True,一般,一般,0,0,0
2504.TW,國產,37.65,2999317.0,1.12741951,1.482479784366577,True,一般,一般,0,0,0
2505.TW,國揚,19.5,120502.0,0.02359755,-0.2557544757033248,False,一般,一般,0,0,0
2506.TW,太設,9.13,363689.0,0.03319455,-0.10940919037199125,True,一般,一般,0,0,0
